Level 1,Level 2,Level 3,Level 4,Href,ToC Level,Page Summary,Category
,,,View user profile details,domain-user-profile-describe.html,4,"Guide for viewing detailed information about individual user profiles including settings and status. * Intended for Administrators and Troubleshooters. * Covers user profile inspection, detailed configuration review, and troubleshooting information.",Manage Users & Access
,,IAM Identity Center groups in a domain,,domain-groups.html,3,"Overview of integrating IAM Identity Center groups with SageMaker AI domains for centralized user management. * Intended for Administrators. * Covers group integration, centralized authentication, and enterprise user management.",Manage Users & Access
,,,View groups and users,domain-groups-view.html,4,"Instructions for viewing IAM Identity Center groups and their associated users within a domain. * Intended for Administrators. * Covers group inspection, user membership review, and access management monitoring.",Manage Users & Access
,,,Add groups and users,domain-groups-add.html,4,"Step-by-step guide for adding IAM Identity Center groups and users to a SageMaker AI domain. * Intended for Administrators. * Covers group assignment, user provisioning, and access configuration procedures.",Manage Users & Access
,,,Remove groups,domain-groups-remove.html,4,"Instructions for removing IAM Identity Center groups from domains and managing user access changes. * Intended for Administrators. * Covers group removal, access revocation, and user transition procedures.",Manage Users & Access
,,Understanding spaces and execution roles,,execution-roles-and-spaces.html,3,"Explains the relationship between shared spaces and execution roles for proper access control. * Intended for Administrators and Developers. * Covers space concepts, role assignments, and access control mechanisms.",Manage Users & Access
,,View SageMaker AI resources in your domain,,sm-console-domain-resources-view.html,3,"Guide for viewing all SageMaker AI resources associated with a domain through the console. * Intended for Administrators and Troubleshooters. * Covers resource monitoring, inventory management, and system overview procedures.",Monitor & Troubleshoot
,,Shut down SageMaker AI resources in your domain,,sm-console-domain-resources-shut-down.html,3,"Instructions for properly shutting down SageMaker AI resources to avoid unnecessary costs. * Intended for Administrators and Troubleshooters. * Covers resource shutdown procedures, cost management, and cleanup operations.",Monitor & Troubleshoot
,,Where to shut down resources per SageMaker AI features,,sm-shut-down-resources-per-feature.html,3,"Reference guide mapping specific SageMaker AI features to their corresponding shutdown procedures. * Intended for Administrators and Troubleshooters. * Covers feature-specific shutdown, resource mapping, and targeted cleanup procedures.",Monitor & Troubleshoot
,Choose an Amazon VPC,,,onboard-vpc.html,2,"Guide for selecting and configuring Amazon VPC for SageMaker AI domain networking requirements. * Intended for Administrators. * Covers VPC selection, network configuration, and connectivity setup for domain onboarding.",Get Started
